no	trial	design	participant	group	session	date	name	opacity	rt	trial_order	repet	is.rep	orig	tot	abs	rel	cond
105	4	11	10	b	2	2022_Sep_08_1729	'bar_11_3'	1	1.01146602630615	0	4	0	36	40	90	90	sham
106	5	3	10	b	2	2022_Sep_08_1729	'bar_3_7'	1	0.613152027130127	1	2	0	38	40	95	95	sham
107	5	4	10	b	2	2022_Sep_08_1729	'bar_4_1'	1	0.851407051086426	2	3	0	37	40	92.5	92.5	sham
108	5	11	10	b	2	2022_Sep_08_1729	'bar_11_5'	1	0.744640111923218	0	4	0	36	40	90	90	sham
109	6	3	10	b	2	2022_Sep_08_1729	'bar_3_3'	1	1.33123993873596	1	2	0	38	40	95	95	sham
110	6	4	10	b	2	2022_Sep_08_1729	'bar_4_5'	1	0.665603160858154	2	3	1	37	40	92.5	92.5	sham
111	6	11	10	b	2	2022_Sep_08_1729	'bar_11_4'	1	0.638137102127075	0	4	0	36	40	90	90	sham
112	7	3	10	b	2	2022_Sep_08_1729	'bar_3_1','bar_3_5'	1	2.55746722221375	1	2	0	38	40	95	95	sham
113	7	4	10	b	2	2022_Sep_08_1729	'bar_4_8'	1	1.06734895706177	2	3	0	37	40	92.5	92.5	sham
114	7	11	10	b	2	2022_Sep_08_1729	'bar_11_8'	1	2.37266492843628	0	4	0	36	40	90	90	sham
115	8	3	10	b	2	2022_Sep_08_1729	'bar_3_5'	1	0.558010101318359	1	2	0	38	40	95	95	sham
116	8	4	10	b	2	2022_Sep_08_1729	'bar_4_2','bar_4_1'	1	2.10374188423157	2	3	0	37	40	92.5	92.5	sham
117	8	11	10	b	2	2022_Sep_08_1729	'bar_11_7'	1	1.73226404190063	0	4	1	36	40	90	90	sham
118	9	3	10	b	2	2022_Sep_08_1729	'bar_3_2','bar_3_1'	1	6.05057191848755	1	2	0	38	40	95	95	sham
119	9	4	10	b	2	2022_Sep_08_1729	'bar_4_7','bar_4_5'	1	3.11873602867126	2	3	0	37	40	92.5	92.5	sham
120	9	11	10	b	2	2022_Sep_08_1729	'bar_11_5'	1	0.533226013183594	0	4	1	36	40	90	90	sham
121	0	1	11	a	3	2022_Sep_22_1037	'bar_1_1'	1	2.9527690410614	2	3	0	36	39	90	92.3076923076923	sham
122	0	7	11	a	3	2022_Sep_22_1037	'bar_7_6'	1	1.51003098487854	0	4	0	36	40	90	90	sham
123	0	8	11	a	3	2022_Sep_22_1037	'bar_8_2'	1	1.71065592765808	1	1	0	39	40	97.5	97.5	sham
124	1	1	11	a	3	2022_Sep_22_1037	'bar_1_2'	1	0.609463930130005	2	3	0	36	39	90	92.3076923076923	sham
125	1	7	11	a	3	2022_Sep_22_1037	'bar_7_7'	1	0.744094848632813	0	4	0	36	40	90	90	sham
126	1	8	11	a	3	2022_Sep_22_1037	'bar_8_3'	1	0.929038047790527	1	1	0	39	40	97.5	97.5	sham
127	10	1	11	a	3	2022_Sep_22_1037	'bar_1_2','bar_1_1'	1	2.50397706031799	2	3	0	36	39	90	92.3076923076923	sham
128	10	7	11	a	3	2022_Sep_22_1037	'bar_7_1','bar_7_3'	1	1.86438488960266	0	4	0	36	40	90	90	sham
129	10	8	11	a	3	2022_Sep_22_1037	'bar_8_2','bar_8_4'	1	1.75785684585571	1	1	0	39	40	97.5	97.5	sham
130	11	1	11	a	3	2022_Sep_22_1037	'bar_1_2'	1	1.91864919662476	2	3	1	36	39	90	92.3076923076923	sham
131	11	7	11	a	3	2022_Sep_22_1037	'bar_7_1','bar_7_7'	1	1.3586950302124	0	4	0	36	40	90	90	sham
132	11	8	11	a	3	2022_Sep_22_1037	'bar_8_2','bar_8_5'	1	1.33228993415833	1	1	0	39	40	97.5	97.5	sham
133	12	1	11	a	3	2022_Sep_22_1037	'bar_1_2','bar_1_5'	1	1.67774701118469	2	3	0	36	39	90	92.3076923076923	sham
